gene_id,gene_name,cluster_id
ENSG00000071127.17,WDR1,7
ENSG00000071243.16,ING3,13
ENSG00000071626.17,DAZAP1,7
ENSG00000072042.13,RDH11,13
ENSG00000072110.16,ACTN1,4
ENSG00000072501.19,SMC1A,1
ENSG00000072518.22,MARK2,9
ENSG00000072571.20,HMMR,9
ENSG00000072736.19,NFATC3,13
ENSG00000073536.18,NLE1,15
ENSG00000073584.20,SMARCE1,3
ENSG00000073614.13,KDM5A,13
ENSG00000073921.18,PICALM,12
ENSG00000074696.13,HACD3,11
ENSG00000075131.10,TIPIN,11
ENSG00000075151.24,EIF4G3,13
ENSG00000075413.19,MARK3,9
ENSG00000075856.12,SART3,13
ENSG00000076108.12,BAZ2A,1
ENSG00000077147.16,TM9SF3,2
ENSG00000077232.19,DNAJC10,9
ENSG00000077380.16,DYNC1I2,3
ENSG00000077549.19,CAPZB,3
ENSG00000077684.16,JADE1,12
ENSG00000078124.13,ACER3,1
ENSG00000078140.14,UBE2K,2
ENSG00000078177.14,N4BP2,13
ENSG00000078304.19,PPP2R5C,13
ENSG00000078369.18,GNB1,5
ENSG00000078596.11,ITM2A,9
ENSG00000079134.13,THOC1,9
ENSG00000079246.16,XRCC5,16
ENSG00000079332.15,SAR1A,8
ENSG00000079819.19,EPB41L2,12
ENSG00000080371.6,RAB21,14
ENSG00000080802.20,CNOT4,12
ENSG00000080845.19,DLGAP4,13
ENSG00000081154.12,PCNP,7
ENSG00000081189.16,MEF2C,9
ENSG00000081307.15,UBA5,13
ENSG00000081692.13,JMJD4,10
ENSG00000082153.18,BZW1,7
ENSG00000082641.16,NFE2L1,3
ENSG00000082898.19,XPO1,18
ENSG00000082996.20,RNF13,9
ENSG00000083168.11,KAT6A,9
ENSG00000083312.19,TNPO1,9
ENSG00000083520.15,DIS3,4
ENSG00000083720.13,OXCT1,1
ENSG00000083896.13,YTHDC1,13
ENSG00000083937.10,CHMP2B,9
ENSG00000084070.12,SMAP2,2
ENSG00000084073.10,ZMPSTE24,1
ENSG00000084234.18,APLP2,5
ENSG00000084676.16,NCOA1,13
ENSG00000084733.11,RAB10,11
ENSG00000084754.12,HADHA,12
ENSG00000085063.17,CD59,7
ENSG00000085832.17,EPS15,9
ENSG00000086061.16,DNAJA1,5
ENSG00000086065.14,CHMP5,1
ENSG00000086200.17,IPO11,1
ENSG00000086232.13,EIF2AK1,9
ENSG00000086475.15,SEPHS1,8
ENSG00000086504.18,MRPL28,13
ENSG00000086589.12,RBM22,12
ENSG00000086666.19,ZFAND6,13
ENSG00000086758.16,HUWE1,1
ENSG00000087263.17,OGFOD1,12
ENSG00000087274.19,ADD1,12
ENSG00000087470.19,DNM1L,14
ENSG00000087586.18,AURKA,1
ENSG00000087995.16,METTL2A,11
ENSG00000088205.13,DDX18,1
ENSG00000088247.19,KHSRP,2
ENSG00000088256.9,GNA11,13
ENSG00000088325.16,TPX2,13
ENSG00000088888.18,MAVS,11
ENSG00000089006.17,SNX5,16
ENSG00000089022.14,MAPKAPK5,13
ENSG00000089220.5,PEBP1,19
ENSG00000089682.17,RBM41,13
ENSG00000089685.15,BIRC5,12
ENSG00000090060.19,PAPOLA,1
ENSG00000090316.16,MAEA,12
ENSG00000090520.12,DNAJB11,8
ENSG00000090686.16,USP48,13
ENSG00000090857.14,PDPR,13
ENSG00000091009.8,RBM27,2
ENSG00000091039.17,OSBPL8,1
ENSG00000091317.8,CMTM6,9
ENSG00000091542.9,ALKBH5,9
ENSG00000091651.9,ORC6,11
ENSG00000091947.10,TMEM101,6
ENSG00000092108.22,SCFD1,11
ENSG00000092199.19,HNRNPC,2
ENSG00000092201.10,SUPT16H,1
ENSG00000092531.10,SNAP23,9
ENSG00000092820.19,EZR,3
