gene_id,gene_name,cluster_id
ENSG00000129351.17,ILF3,12
ENSG00000129493.15,HEATR5A,13
ENSG00000129515.20,SNX6,12
ENSG00000129625.13,REEP5,3
ENSG00000129636.13,ITFG1,13
ENSG00000129657.16,SEC14L1,12
ENSG00000129810.15,SGO1,9
ENSG00000129993.15,CBFA2T3,1
ENSG00000130164.14,LDLR,9
ENSG00000130227.17,XPO7,13
ENSG00000130294.18,KIF1A,4
ENSG00000130340.17,SNX9,13
ENSG00000130402.13,ACTN4,1
ENSG00000130669.17,PAK4,11
ENSG00000130713.17,EXOSC2,13
ENSG00000130741.11,EIF2S3,7
ENSG00000130810.20,PPAN,14
ENSG00000130818.12,ZNF426,9
ENSG00000130826.18,DKC1,9
ENSG00000130921.9,MTRFR,9
ENSG00000130939.20,UBE4B,1
ENSG00000131051.24,RBM39,8
ENSG00000131149.19,GSE1,1
ENSG00000131153.9,GINS2,13
ENSG00000131171.13,SH3BGRL,13
ENSG00000131236.18,CAP1,9
ENSG00000131370.16,SH3BP5,13
ENSG00000131467.12,PSME3,13
ENSG00000131470.15,PSMC3IP,12
ENSG00000131482.10,G6PC1,13
ENSG00000131504.18,DIAPH1,13
ENSG00000131507.11,NDFIP1,3
ENSG00000131653.13,TRAF7,10
ENSG00000131669.10,NINJ1,9
ENSG00000131711.15,MAP1B,9
ENSG00000131732.12,ZCCHC9,9
ENSG00000131844.17,MCCC2,2
ENSG00000131944.10,FAAP24,11
ENSG00000132002.9,DNAJB1,1
ENSG00000132254.13,ARFIP2,14
ENSG00000132300.19,PTCD3,4
ENSG00000132388.13,UBE2G1,2
ENSG00000132424.17,PNISR,2
ENSG00000132463.15,GRSF1,1
ENSG00000132466.20,ANKRD17,9
ENSG00000132467.4,UTP3,1
ENSG00000132475.10,H3-3B,7
ENSG00000132581.10,SDF2,9
ENSG00000132603.15,NIP7,3
ENSG00000132604.11,TERF2,12
ENSG00000132670.21,PTPRA,13
ENSG00000132823.11,OSER1,13
ENSG00000132906.18,CASP9,14
ENSG00000133028.12,SCO1,1
ENSG00000133112.17,TPT1,17
ENSG00000133193.13,FAM104A,3
ENSG00000133226.18,SRRM1,13
ENSG00000133250.14,ZNF414,17
ENSG00000133313.15,CNDP2,9
ENSG00000133318.14,RTN3,13
ENSG00000133393.13,CEP20,1
ENSG00000133460.20,SLC2A11,12
ENSG00000133606.11,MKRN1,1
ENSG00000133639.6,BTG1,1
ENSG00000133657.17,ATP13A3,9
ENSG00000133703.14,KRAS,9
ENSG00000133706.19,LARS1,4
ENSG00000133818.14,RRAS2,13
ENSG00000134049.6,IER3IP1,7
ENSG00000134077.16,THUMPD3,13
ENSG00000134086.8,VHL,3
ENSG00000134107.5,BHLHE40,1
ENSG00000134108.14,ARL8B,7
ENSG00000134152.11,KATNBL1,13
ENSG00000134186.12,PRPF38B,1
ENSG00000134287.10,ARF3,8
ENSG00000134291.12,TMEM106C,1
ENSG00000134294.14,SLC38A2,1
ENSG00000134308.14,YWHAQ,5
ENSG00000134318.15,ROCK2,13
ENSG00000134333.14,LDHA,1
ENSG00000134375.11,TIMM17A,3
ENSG00000134440.12,"NARS1",13
ENSG00000134453.16,RBM17,8
ENSG00000134461.16,ANKRD16,13
ENSG00000134602.16,STK26,13
ENSG00000134644.16,PUM1,13
ENSG00000134717.18,BTF3L4,10
ENSG00000134748.13,PRPF38A,3
ENSG00000134758.14,RNF138,18
ENSG00000134759.14,ELP2,11
ENSG00000134897.14,BIVM,9
ENSG00000134900.12,TPP2,1
ENSG00000134970.14,TMED7,1
ENSG00000134987.13,WDR36,1
ENSG00000134996.12,OSTF1,13
ENSG00000135018.14,UBQLN1,2
ENSG00000135040.16,"NAA35",2
ENSG00000135045.7,C9orf40,13
ENSG00000135070.15,ISCA1,1
ENSG00000135245.10,HILPDA,9
ENSG00000135249.8,RINT1,11
ENSG00000135297.17,MTO1,11
ENSG00000135316.19,SYNCRIP,2
ENSG00000135334.9,AKIRIN2,1
ENSG00000135341.18,MAP3K7,1
ENSG00000135387.21,CAPRIN1,1
ENSG00000135457.11,TFCP2,1
ENSG00000135486.19,HNRNPA1,15
ENSG00000135549.15,PKIB,12
ENSG00000135679.27,MDM2,9
ENSG00000135720.13,DYNC1LI2,1
ENSG00000135763.10,URB2,1
ENSG00000135776.5,ABCB10,1
ENSG00000135778.12,NTPCR,3
ENSG00000135821.19,GLUL,7
ENSG00000135829.17,DHX9,13
ENSG00000135837.16,CEP350,13
ENSG00000135838.14,NPL,6
ENSG00000135900.4,MRPL44,2
ENSG00000135930.15,EIF4E2,13
ENSG00000135940.7,COX5B,9
ENSG00000135966.13,TGFBRAP1,13
ENSG00000135974.10,C2orf49,14
ENSG00000136045.12,PWP1,3
ENSG00000136108.15,CKAP2,1
ENSG00000136231.14,IGF2BP3,13
ENSG00000136238.18,RAC1,3
ENSG00000136261.16,BZW2,9
ENSG00000136279.21,DBNL,4
ENSG00000136381.13,IREB2,2
ENSG00000136436.15,CALCOCO2,9
ENSG00000136504.13,KAT7,17
ENSG00000136521.13,NDUFB5,1
ENSG00000136522.14,MRPL47,14
ENSG00000136527.19,TRA2B,10
ENSG00000136536.15,MARCHF7,12
ENSG00000136636.13,KCTD3,13
ENSG00000136709.12,WDR33,14
ENSG00000136718.10,IMP4,10
ENSG00000136731.13,UGGT1,3
ENSG00000136754.18,ABI1,9
ENSG00000136758.20,YME1L1,1
ENSG00000136807.14,CDK9,9
ENSG00000136819.15,C9orf78,1
ENSG00000136827.12,TOR1A,2
ENSG00000136842.14,TMOD1,12
ENSG00000136868.11,SLC31A1,13
ENSG00000136874.11,STX17,13
ENSG00000136888.8,ATP6V1G1,3
ENSG00000136929.13,HEMGN,13
ENSG00000136932.15,TRMO,4
ENSG00000136936.11,XPA,1
ENSG00000136937.13,NCBP1,9
ENSG00000136938.9,ANP32B,4
ENSG00000136950.13,ARPC5L,3
ENSG00000136986.10,DERL1,3
ENSG00000137038.8,DMAC1,13
ENSG00000137076.21,TLN1,6
ENSG00000137124.8,ALDH1B1,13
ENSG00000137331.12,IER3,9
ENSG00000137364.5,TPMT,13
ENSG00000137486.17,ARRB1,12
ENSG00000137500.10,CCDC90B,17
ENSG00000137504.15,CREBZF,9
ENSG00000137575.12,SDCBP,13
ENSG00000137714.3,FDX1,3
ENSG00000137776.17,SLTM,13
ENSG00000137814.12,HAUS2,11
ENSG00000137876.11,RSL24D1,1
ENSG00000137947.12,GTF2B,12
ENSG00000137992.15,DBT,1
ENSG00000137996.13,RTCA,3
ENSG00000138029.14,HADHB,3
ENSG00000138032.21,PPM1B,6
ENSG00000138035.15,PNPT1,4
ENSG00000138071.15,ACTR2,1
ENSG00000138092.11,CENPO,12
ENSG00000138095.20,LRPPRC,1
ENSG00000138160.7,KIF11,1
ENSG00000138279.16,ANXA7,13
ENSG00000138398.17,PPIG,2
ENSG00000138430.16,OLA1,12
ENSG00000138433.16,CIR1,9
ENSG00000138449.11,SLC40A1,1
ENSG00000138600.10,SPPL2A,14
ENSG00000138674.17,SEC31A,9
ENSG00000138685.17,FGF2,9
ENSG00000138744.16,"NAAA",9
ENSG00000138750.15,NUP54,13
ENSG00000138756.19,BMP2K,9
ENSG00000138757.15,G3BP2,9
ENSG00000138768.15,USO1,13
ENSG00000138777.20,PPA2,15
ENSG00000138795.10,LEF1,12
ENSG00000139146.14,SINHCAF,9
ENSG00000139163.16,ETNK1,1
ENSG00000139233.7,LLPH,1
ENSG00000139291.14,TMEM19,11
ENSG00000139372.15,TDG,13
ENSG00000139613.12,SMARCC2,13
ENSG00000139629.16,GALNT6,13
ENSG00000139644.13,TMBIM6,5
ENSG00000139668.9,WDFY2,9
ENSG00000139697.14,SBNO1,2
ENSG00000139726.11,DENR,1
ENSG00000139734.19,DIAPH3,1
ENSG00000139746.16,RBM26,13
ENSG00000139842.15,CUL4A,2
ENSG00000139921.13,TMX1,1
ENSG00000140025.16,EFCAB11,17
ENSG00000140105.18,WARS1,13
ENSG00000140157.16,NIPA2,1
ENSG00000140263.15,SORD,13
ENSG00000140299.13,BNIP2,3
ENSG00000140350.15,ANP32A,12
ENSG00000140391.15,TSPAN3,4
ENSG00000140395.9,WDR61,12
ENSG00000140497.16,SCAMP2,12
ENSG00000140525.19,FANCI,1
ENSG00000140575.13,IQGAP1,9
ENSG00000140740.11,UQCRC2,14
ENSG00000140905.11,GCSH,1
ENSG00000140941.14,MAP1LC3B,3
ENSG00000140992.19,PDPK1,9
ENSG00000141027.22,NCOR1,9
ENSG00000141034.10,GID4,13
ENSG00000141367.12,CLTC,13
ENSG00000141380.14,SS18,1
ENSG00000141429.14,GALNT1,12
ENSG00000141582.15,CBX4,12
ENSG00000141696.13,P3H4,13
ENSG00000141858.12,SAMD1,13
ENSG00000141867.19,BRD4,2
ENSG00000141905.19,NFIC,4
ENSG00000142166.13,IFNAR1,13
ENSG00000142405.22,NLRP12,12
ENSG00000142409.6,ZNF787,11
ENSG00000142453.12,CARM1,13
ENSG00000142541.18,RPL13A,17
ENSG00000142634.13,EFHD2,13
ENSG00000142657.21,PGD,1
ENSG00000142687.18,KIAA0319L,13
ENSG00000142751.15,GPN2,11
ENSG00000142864.15,SERBP1,9
ENSG00000142892.15,PIGK,1
ENSG00000142949.17,PTPRF,13
ENSG00000143013.13,LMO4,1
ENSG00000143033.18,MTF2,13
ENSG00000143164.16,DCAF6,13
ENSG00000143178.13,TBX19,13
ENSG00000143179.16,UCK2,3
ENSG00000143190.23,POU2F1,9
ENSG00000143207.21,COP1,12
ENSG00000143319.17,ISG20L2,9
ENSG00000143321.19,HDGF,1
ENSG00000143337.19,TOR1AIP1,3
ENSG00000143374.18,TARS2,12
ENSG00000143376.14,SNX27,9
ENSG00000143401.15,ANP32E,2
ENSG00000143409.17,MINDY1,13
ENSG00000143442.22,POGZ,13
ENSG00000143498.18,TAF1A,13
ENSG00000143549.21,TPM3,19
ENSG00000143569.19,UBAP2L,9
ENSG00000143633.13,C1orf131,9
ENSG00000143641.10,GALNT2,7
ENSG00000143653.10,SCCPDH,13
ENSG00000143702.16,CEP170,13
ENSG00000143751.10,SDE2,1
ENSG00000143753.13,DEGS1,1
ENSG00000143756.12,FBXO28,2
ENSG00000143761.16,ARF1,19
ENSG00000143811.20,PYCR2,12
ENSG00000143870.13,PDIA6,1
ENSG00000143889.16,HNRNPLL,11
ENSG00000144021.3,CIAO1,4
ENSG00000144043.12,TEX261,9
ENSG00000144120.13,TMEM177,9
ENSG00000144161.14,ZC3H8,14
ENSG00000144199.12,FAHD2B,6
ENSG00000144224.17,UBXN4,3
ENSG00000144231.11,POLR2D,1
ENSG00000144366.16,GULP1,13
ENSG00000144560.16,VGLL4,9
ENSG00000144566.11,RAB5A,1
ENSG00000144567.11,RETREG2,13
ENSG00000144635.9,DYNC1LI1,8
ENSG00000144744.17,UBA3,1
ENSG00000144746.7,ARL6IP5,13
ENSG00000145248.7,SLC10A4,3
ENSG00000145283.8,SLC10A6,9
ENSG00000145287.11,PLAC8,13
ENSG00000145332.14,KLHL8,9
ENSG00000145337.5,PYURF,12
ENSG00000145386.11,CCNA2,14
ENSG00000145495.16,MARCHF6,5
ENSG00000145725.20,PPIP5K2,13
ENSG00000145740.20,SLC30A5,13
ENSG00000145779.8,TNFAIP8,13
ENSG00000145782.13,ATG12,12
ENSG00000145919.11,BOD1,13
ENSG00000146007.11,ZMAT2,13
ENSG00000146223.16,RPL7L1,1
ENSG00000146247.14,PHIP,9
ENSG00000146433.10,TMEM181,13
ENSG00000146463.12,ZMYM4,2
ENSG00000146731.11,CCT6A,3
ENSG00000146842.17,TMEM209,13
ENSG00000146963.18,LUC7L2,1
ENSG00000147162.14,OGT,13
ENSG00000147316.15,MCPH1,9
ENSG00000147324.11,MFHAS1,9
ENSG00000147454.14,SLC25A37,9
ENSG00000147526.20,TACC1,9
ENSG00000147533.18,GOLGA7,1
ENSG00000147536.12,GINS4,1
ENSG00000147654.15,EBAG9,3
ENSG00000147669.11,POLR2K,8
ENSG00000147689.17,FAM83A,13
ENSG00000147874.11,HAUS6,1
ENSG00000148153.14,INIP,13
ENSG00000148154.10,UGCG,9
ENSG00000148187.18,MRRF,3
ENSG00000148248.14,SURF4,3
ENSG00000148296.7,SURF6,15
ENSG00000148297.16,MED22,4
ENSG00000148484.18,RSU1,6
ENSG00000148672.10,GLUD1,1
ENSG00000148700.15,ADD3,13
ENSG00000148730.7,EIF4EBP2,1
ENSG00000148773.14,MKI67,13
ENSG00000148943.12,LIN7C,1
ENSG00000148985.20,PGAP2,13
ENSG00000149084.13,HSD17B12,12
ENSG00000149187.19,CELF1,13
ENSG00000149311.20,ATM,13
ENSG00000149313.11,AASDHPPT,14
ENSG00000149428.20,HYOU1,12
ENSG00000149485.19,FADS1,13
ENSG00000149516.14,MS4A3,3
ENSG00000149547.15,EI24,14
ENSG00000149557.14,FEZ1,14
ENSG00000149658.18,YTHDF1,2
ENSG00000149809.17,TM7SF2,6
ENSG00000150593.18,PDCD4,9
ENSG00000150764.14,DIXDC1,9
ENSG00000150768.17,DLAT,1
ENSG00000150867.14,PIP4K2A,1
ENSG00000150977.11,RILPL2,13
ENSG00000151092.18,NGLY1,1
ENSG00000151148.14,UBE3B,13
ENSG00000151247.13,EIF4E,1
ENSG00000151465.14,CDC123,12
ENSG00000151502.11,VPS26B,10
ENSG00000151694.14,ADAM17,13
ENSG00000151718.16,WWC2,1
ENSG00000151746.15,BICD1,12
ENSG00000151806.14,GUF1,14
ENSG00000151881.15,TMEM267,11
ENSG00000152061.24,RABGAP1L,13
ENSG00000152102.18,FAM168B,1
ENSG00000152133.16,GPATCH11,12
ENSG00000152147.11,GEMIN6,10
ENSG00000152219.5,ARL14EP,14
ENSG00000152291.15,TGOLN2,13
ENSG00000152332.16,UHMK1,9
ENSG00000152413.15,HOMER1,12
ENSG00000152455.16,SUV39H2,4
ENSG00000152518.8,ZFP36L2,13
ENSG00000152558.15,TMEM123,2
ENSG00000152601.18,MBNL1,13
ENSG00000152620.13,"NADK2",3
ENSG00000152683.14,SLC30A6,1
ENSG00000152700.14,SAR1B,14
ENSG00000152804.11,HHEX,13
ENSG00000152952.12,PLOD2,13
ENSG00000153006.16,SREK1IP1,9
ENSG00000153029.16,MR1,13
ENSG00000153037.15,SRP19,6
ENSG00000153044.10,CENPH,3
ENSG00000153130.18,SCOC,13
ENSG00000153147.6,SMARCA5,2
ENSG00000153201.16,RANBP2,1
ENSG00000153317.15,ASAP1,9
ENSG00000153391.16,INO80C,13
ENSG00000153487.13,ING1,1
ENSG00000153561.13,RMND5A,2
ENSG00000153574.9,RPIA,1
ENSG00000153815.18,CMIP,13
ENSG00000153827.14,TRIP12,2
ENSG00000153879.9,CEBPG,8
ENSG00000153936.18,HS2ST1,9
ENSG00000153944.12,MSI2,9
ENSG00000153989.8,NUS1,2
ENSG00000154001.14,PPP2R5E,13
ENSG00000154174.8,TOMM70,1
ENSG00000154310.17,TNIK,9
ENSG00000154839.10,SKA1,13
ENSG00000154945.7,ANKRD40,1
ENSG00000155008.16,APOOL,13
ENSG00000155096.15,AZIN1,2
ENSG00000155097.12,ATP6V1C1,2
ENSG00000155189.12,AGPAT5,5
ENSG00000155307.19,SAMSN1,1
ENSG00000155329.12,ZCCHC10,9
ENSG00000155330.10,C16orf87,12
ENSG00000155393.14,HEATR3,1
ENSG00000155438.12,NIFK,10
ENSG00000155463.14,OXA1L,4
ENSG00000155506.19,LARP1,13
ENSG00000155508.14,CNOT8,1
ENSG00000155621.15,C9orf85,13
ENSG00000155660.11,PDIA4,12
ENSG00000155755.20,TMEM237,13
ENSG00000155957.19,TMBIM4,15
ENSG00000155959.12,VBP1,1
ENSG00000156052.11,GNAQ,9
ENSG00000156110.15,ADK,11
ENSG00000156171.15,DRAM2,9
ENSG00000156256.15,USP16,9
ENSG00000156411.10,ATP5MJ,10
ENSG00000156675.16,RAB11FIP1,1
ENSG00000156735.11,BAG4,1
ENSG00000156802.13,ATAD2,8
ENSG00000156968.9,MPV17L,13
ENSG00000157106.18,SMG1,9
ENSG00000157181.16,ODR4,4
ENSG00000157184.7,CPT2,13
ENSG00000157193.18,LRP8,14
ENSG00000157216.16,SSBP3,1
ENSG00000157259.8,GATAD1,17
ENSG00000157540.22,DYRK1A,9
ENSG00000157570.12,TSPAN18,12
ENSG00000157837.16,SPPL3,14
ENSG00000157916.20,RER1,10
ENSG00000157954.15,WIPI2,9
ENSG00000158042.9,MRPL17,13
ENSG00000158122.12,PRXL2C,11
ENSG00000158195.11,WASF2,14
ENSG00000158234.13,FAIM,12
ENSG00000158435.8,CNOT11,14
ENSG00000158470.5,B4GALT5,1
ENSG00000158526.8,TSR2,12
ENSG00000158604.15,TMED4,13
ENSG00000158615.10,PPP1R15B,12
ENSG00000158769.18,F11R,9
ENSG00000158941.17,CCAR2,13
ENSG00000159023.22,EPB41,9
ENSG00000159055.4,MIS18A,9
ENSG00000159131.17,GART,15
ENSG00000159202.18,UBE2Z,12
ENSG00000159216.19,RUNX1,8
ENSG00000159217.10,IGF2BP1,2
ENSG00000159259.8,CHAF1B,4
ENSG00000159322.18,ADPGK,12
ENSG00000159335.18,PTMS,19
ENSG00000159388.6,BTG2,12
ENSG00000159445.13,THEM4,14
ENSG00000159592.11,GPBP1L1,1
ENSG00000159596.7,TMEM69,1
ENSG00000159658.15,EFCAB14,13
ENSG00000160014.17,CALM3,5
ENSG00000160049.12,DFFA,13
ENSG00000160058.19,BSDC1,9
ENSG00000160072.20,ATAD3B,4
ENSG00000160087.21,UBE2J2,13
ENSG00000160131.14,VMA21,5
ENSG00000160209.19,PDXK,4
ENSG00000160216.21,AGPAT3,3
ENSG00000160229.13,ZNF66,9
ENSG00000160310.19,PRMT2,6
ENSG00000160352.16,ZNF714,9
ENSG00000160392.14,C19orf47,11
ENSG00000160551.12,TAOK1,13
ENSG00000160679.13,CHTOP,15
ENSG00000160753.16,RUSC1,13
ENSG00000160818.17,GPATCH4,12
ENSG00000160959.8,LRRC14,12
ENSG00000160991.17,ORAI2,9
ENSG00000161202.20,DVL3,1
ENSG00000161405.17,IKZF3,1
ENSG00000161526.15,SAP30BP,6
ENSG00000161542.17,PRPSAP1,13
ENSG00000161618.10,ALDH16A1,13
ENSG00000161654.10,LSM12,1
ENSG00000161671.17,EMC10,14
ENSG00000161813.23,LARP4,9
ENSG00000161888.12,SPC24,3
ENSG00000161960.16,EIF4A1,20
ENSG00000162086.16,ZNF75A,13
ENSG00000162129.14,CLPB,2
ENSG00000162174.12,ASRGL1,13
ENSG00000162368.14,CMPK1,1
ENSG00000162377.6,COA7,1
ENSG00000162511.8,LAPTM5,2
ENSG00000162521.19,RBBP4,14
ENSG00000162522.11,KIAA1522,13
ENSG00000162664.17,ZNF326,9
ENSG00000162694.14,EXTL2,13
ENSG00000162702.8,ZNF281,1
ENSG00000162704.16,ARPC5,12
ENSG00000162714.13,ZNF496,13
ENSG00000162769.13,FLVCR1,3
ENSG00000162852.14,CNST,12
ENSG00000162889.11,MAPKAPK2,1
ENSG00000162959.14,MEMO1,13
ENSG00000162989.5,KCNJ3,9
ENSG00000163041.13,H3-3A,14
ENSG00000163125.16,RPRD2,9
ENSG00000163131.12,CTSS,9
ENSG00000163320.12,CGGBP1,8
ENSG00000163322.14,ABRAXAS1,13
ENSG00000163349.22,HIPK1,1
ENSG00000163428.4,LRRC58,13
ENSG00000163444.12,TMEM183A,12
ENSG00000163527.10,STT3B,2
ENSG00000163528.13,CHCHD4,13
ENSG00000163539.18,CLASP2,1
ENSG00000163558.13,PRKCI,9
ENSG00000163605.15,PPP4R2,9
ENSG00000163683.12,SMIM14,9
ENSG00000163714.18,U2SURP,2
ENSG00000163728.11,TTC14,12
ENSG00000163811.12,WDR43,13
ENSG00000163827.14,LRRC2,9
ENSG00000163832.16,ELP6,2
ENSG00000163848.20,ZNF148,9
ENSG00000163904.13,SENP2,13
ENSG00000163933.10,RFT1,11
ENSG00000163960.12,UBXN7,9
ENSG00000163964.18,PIGX,1
ENSG00000164008.17,C1orf50,17
ENSG00000164022.18,AIMP1,14
ENSG00000164024.12,METAP1,12
ENSG00000164031.17,DNAJB14,9
ENSG00000164040.18,PGRMC2,8
ENSG00000164045.12,CDC25A,11
ENSG00000164077.15,MON1A,4
ENSG00000164080.14,RAD54L2,13
ENSG00000164087.8,POC1A,12
ENSG00000164104.12,HMGB2,12
ENSG00000164144.16,ARFIP1,9
ENSG00000164163.11,ABCE1,1
ENSG00000164172.20,MOCS2,13
ENSG00000164190.19,NIPBL,13
ENSG00000164209.17,SLC25A46,14
ENSG00000164284.15,GRPEL2,2
ENSG00000164291.17,ARSK,9
ENSG00000164305.19,CASP3,12
ENSG00000164332.8,UBLCP1,9
ENSG00000164338.10,UTP15,13
ENSG00000164442.10,CITED2,1
ENSG00000164466.13,SFXN1,1
ENSG00000164506.15,STXBP5,3
ENSG00000164548.12,TRA2A,13
ENSG00000164609.10,SLU7,9
ENSG00000164615.6,CAMLG,13
ENSG00000164631.19,ZNF12,12
ENSG00000164818.16,DNAAF5,13
ENSG00000164902.14,PHAX,2
ENSG00000164985.15,PSIP1,1
ENSG00000165055.16,METTL2B,13
ENSG00000165119.21,HNRNPK,2
ENSG00000165156.15,ZHX1,13
ENSG00000165219.23,GAPVD1,13
ENSG00000165417.12,GTF2A1,9
ENSG00000165476.14,REEP3,1
ENSG00000165512.5,ZNF22,1
ENSG00000165526.9,RPUSD4,13
ENSG00000165527.8,ARF6,2
ENSG00000165669.14,FAM204A,13
ENSG00000165678.22,GHITM,7
ENSG00000165716.11,DIPK1B,3
ENSG00000165732.14,DDX21,12
ENSG00000165898.14,ISCA2,11
ENSG00000165934.13,CPSF2,4
ENSG00000166025.18,AMOTL1,1
ENSG00000166037.11,CEP57,13
ENSG00000166133.18,RPUSD2,13
ENSG00000166164.16,BRD7,12
ENSG00000166181.13,API5,13
ENSG00000166233.15,ARIH1,1
ENSG00000166275.16,BORCS7,9
ENSG00000166295.9,ANAPC16,15
ENSG00000166326.7,TRIM44,13
ENSG00000166347.19,CYB5A,11
ENSG00000166452.12,AKIP1,13
ENSG00000166471.11,TMEM41B,12
ENSG00000166822.13,TMEM170A,9
ENSG00000166847.10,DCTN5,8
ENSG00000166855.9,CLPX,9
ENSG00000166896.9,ATP23,15
ENSG00000166913.13,YWHAB,3
ENSG00000166965.13,RCCD1,12
ENSG00000167004.14,PDIA3,12
ENSG00000167005.14,NUDT21,2
ENSG00000167110.19,GOLGA2,12
ENSG00000167193.8,CRK,1
ENSG00000167196.14,FBXO22,14
ENSG00000167283.9,ATP5MG,13
ENSG00000167325.15,RRM1,9
ENSG00000167460.17,TPM4,9
ENSG00000167461.12,RAB8A,14
ENSG00000167470.14,MIDN,13
ENSG00000167491.18,GATAD2A,8
ENSG00000167513.9,CDT1,4
ENSG00000167552.15,TUBA1A,15
ENSG00000167635.12,ZNF146,13
ENSG00000167654.18,ATCAY,13
ENSG00000167721.11,TSR1,4
ENSG00000167733.14,HSD11B1L,13
ENSG00000167881.15,SRP68,9
ENSG00000168090.10,COPS6,9
ENSG00000168116.14,KIAA1586,14
ENSG00000168118.12,RAB4A,3
ENSG00000168175.15,MAPK1IP1L,1
ENSG00000168214.22,RBPJ,9
ENSG00000168256.18,NKIRAS2,12
ENSG00000168264.11,IRF2BP2,2
ENSG00000168288.13,MMADHC,13
ENSG00000168291.13,PDHB,3
ENSG00000168374.11,ARF4,10
ENSG00000168385.18,SEPTIN2,1
ENSG00000168395.16,ING5,13
ENSG00000168397.17,ATG4B,14
ENSG00000168495.13,POLR3D,11
ENSG00000168566.13,SNRNP48,2
ENSG00000168610.16,STAT3,3
ENSG00000168710.18,AHCYL1,12
ENSG00000168724.17,DNAJC21,14
ENSG00000168818.10,STX18,12
ENSG00000168827.15,GFM1,4
ENSG00000168924.15,LETM1,3
ENSG00000168938.6,PPIC,13
ENSG00000168958.20,MFF,10
ENSG00000169019.11,COMMD8,13
ENSG00000169136.13,ATF5,13
ENSG00000169139.12,UBE2V2,1
ENSG00000169155.10,ZBTB43,9
ENSG00000169217.9,CD2BP2,15
ENSG00000169221.14,TBC1D10B,12
ENSG00000169223.15,LMAN2,5
ENSG00000169299.14,PGM2,9
ENSG00000169504.15,CLIC4,1
ENSG00000169515.8,CCDC8,9
ENSG00000169570.10,DTWD2,13
ENSG00000169635.10,HIC2,1
ENSG00000169714.17,CNBP,13
ENSG00000169756.16,LIMS1,1
ENSG00000169895.6,SYAP1,4
ENSG00000169905.13,TOR1AIP2,9
ENSG00000169925.17,BRD3,9
ENSG00000170100.14,ZNF778,14
ENSG00000170144.21,HNRNPA3,8
ENSG00000170175.11,CHRNB1,9
ENSG00000170180.22,GYPA,7
ENSG00000170242.19,USP47,13
ENSG00000170248.15,PDCD6IP,2
ENSG00000170270.5,GON7,1
ENSG00000170312.17,CDK1,3
ENSG00000170348.9,TMED10,2
ENSG00000170522.10,ELOVL6,13
ENSG00000170537.13,TMC7,13
ENSG00000170540.15,ARL6IP1,9
ENSG00000170545.17,SMAGP,15
ENSG00000170632.14,ARMC10,14
ENSG00000170734.12,POLH,13
ENSG00000170759.11,KIF5B,1
ENSG00000170779.11,CDCA4,1
ENSG00000170791.18,CHCHD7,10
ENSG00000170854.18,RIOX2,9
ENSG00000170876.8,TMEM43,1
ENSG00000171051.9,FPR1,13
ENSG00000171148.14,TADA3,9
ENSG00000171208.10,NETO2,1
ENSG00000171236.10,LRG1,13
ENSG00000171241.9,SHCBP1,13
ENSG00000171262.11,FAM98B,13
ENSG00000171456.21,ASXL1,12
ENSG00000171466.10,ZNF562,13
ENSG00000171475.14,WIPF2,9
ENSG00000171497.5,PPID,3
ENSG00000171566.12,PLRG1,12
ENSG00000171604.12,CXXC5,1
ENSG00000171612.7,SLC25A33,13
ENSG00000171634.19,BPTF,13
ENSG00000171843.17,MLLT3,13
ENSG00000171865.10,RNASEH1,8
ENSG00000172239.14,PAIP1,5
ENSG00000172292.15,CERS6,2
ENSG00000172315.6,TP53RK,13
ENSG00000172466.16,ZNF24,9
ENSG00000172775.17,PSME3IP1,13
ENSG00000172831.14,CES2,13
ENSG00000173120.15,KDM2A,13
ENSG00000173141.5,MRPL57,15
ENSG00000173349.6,SFT2D3,13
ENSG00000173402.12,DAG1,12
ENSG00000173559.15,"NABP1",9
ENSG00000173598.14,NUDT4,13
ENSG00000173674.11,EIF1AX,1
ENSG00000173726.11,TOMM20,7
ENSG00000173744.18,AGFG1,9
ENSG00000173757.10,STAT5B,8
ENSG00000173848.19,NET1,9
ENSG00000173875.14,ZNF791,9
ENSG00000173905.9,GOLIM4,13
ENSG00000173950.16,XXYLT1,12
ENSG00000173960.14,UBXN2A,11
ENSG00000174013.8,FBXO45,13
ENSG00000174173.7,TRMT10C,9
ENSG00000174574.16,AKIRIN1,18
ENSG00000174695.10,TMEM167A,10
ENSG00000174749.6,FAM241A,13
ENSG00000174780.17,SRP72,1
ENSG00000174799.11,CEP135,9
ENSG00000174840.9,PDE12,1
ENSG00000174891.14,RSRC1,13
ENSG00000174953.14,DHX36,4
ENSG00000175110.14,MRPS22,11
ENSG00000175197.13,DDIT3,13
ENSG00000175203.17,DCTN2,9
ENSG00000175215.11,CTDSP2,8
ENSG00000175348.11,TMEM9B,3
ENSG00000175376.9,EIF1AD,4
ENSG00000175387.16,SMAD2,14
ENSG00000175449.14,RFESD,3
ENSG00000175575.13,PAAF1,11
ENSG00000175582.20,RAB6A,13
ENSG00000175727.14,MLXIP,9
ENSG00000175787.17,ZNF169,9
ENSG00000176022.7,B3GALT6,2
ENSG00000176105.14,YES1,1
ENSG00000176171.12,BNIP3,14
ENSG00000176407.18,KCMF1,1
ENSG00000176422.14,SPRYD4,13
ENSG00000176871.9,WSB2,13
